element,web_name,team,position,gw_from_fixture,total_points_6gw,minutes_6gw,personas,flags,persona_count,starts_last6
329,Wilson,FUL,MID,38,14.0,333.0,None,Minutes Risk,0,4
330,Berge,FUL,MID,38,7.0,225.0,None,Minutes Risk,0,3
331,Cairney,FUL,MID,38,12.0,211.0,None,Minutes Risk,0,2
332,Lukić,FUL,MID,38,15.0,450.0,"Metronome, Differential, Bonus Magnet",,3,5
333,Godo,FUL,MID,38,0.0,0.0,None,Minutes Risk,0,0
334,Harris,FUL,MID,38,0.0,0.0,None,Minutes Risk,0,0
335,King,FUL,MID,38,5.0,118.0,None,Minutes Risk,0,0
336,Reed,FUL,MID,38,2.0,63.0,None,Minutes Risk,0,1
337,Raúl,FUL,FWD,38,7.0,201.0,None,Minutes Risk,0,2
338,Muniz,FUL,FWD,38,9.0,334.0,None,Minutes Risk,0,4
339,Meslier,LEE,GKP,38,0.0,0.0,None,Minutes Risk,0,0
340,Cairns,LEE,GKP,38,0.0,0.0,None,Minutes Risk,0,0
341,Darlow,LEE,GKP,38,25.0,540.0,"Shot Stopper, Overperformer, Bonus Magnet",Minutes Monster,3,6
342,Bogle,LEE,DEF,38,14.0,302.0,None,Minutes Risk,0,4
343,Struijk,LEE,DEF,38,13.0,415.0,"Budget Enabler, Aerial Threat",,2,5
344,Bijol,LEE,DEF,38,29.0,492.0,"Defensive Workhorse, Budget Enabler, Bonus Magnet",,3,6
345,Bornauw,LEE,DEF,38,8.0,125.0,None,Minutes Risk,0,1
346,Byram,LEE,DEF,38,1.0,1.0,None,Minutes Risk,0,0
347,Gudmundsson,LEE,DEF,38,7.0,180.0,None,Minutes Risk,0,2
348,Rodon,LEE,DEF,38,10.0,406.0,None,Minutes Risk,0,4
349,Schmidt,LEE,DEF,38,0.0,0.0,None,Minutes Risk,0,0
350,Aaronson,LEE,MID,38,12.0,389.0,None,,0,5
351,Gnonto,LEE,MID,38,9.0,128.0,None,Minutes Risk,0,0
352,Harrison,LEE,MID,38,0.0,0.0,None,Minutes Risk,0,0
353,James,LEE,MID,38,5.0,142.0,None,Minutes Risk,0,2
354,Ampadu,LEE,MID,38,29.0,540.0,"Defensive Contributor, Captaincy King, Differential, Bonus Magnet",Minutes Monster,4,6
355,Greenwood,LEE,MID,38,0.0,0.0,None,Minutes Risk,0,0
356,Gruev,LEE,MID,38,1.0,12.0,None,Minutes Risk,0,0
357,Ramazani,LEE,MID,38,0.0,0.0,None,Minutes Risk,0,0
358,Tanaka,LEE,MID,38,21.0,475.0,"Metronome, Differential, Bonus Magnet",,3,6
359,Crew,LEE,MID,38,0.0,0.0,None,Minutes Risk,0,0
360,Gelhardt,LEE,MID,38,0.0,0.0,None,Minutes Risk,0,0
361,Gyabi,LEE,MID,38,0.0,0.0,None,Minutes Risk,0,0
362,Piroe,LEE,FWD,38,3.0,29.0,None,Minutes Risk,0,0
363,Bamford,LEE,FWD,38,0.0,0.0,None,Minutes Risk,0,0
364,Mateo Joseph,LEE,FWD,38,0.0,0.0,None,Minutes Risk,0,0
365,Nmecha,LEE,FWD,38,7.0,199.0,None,Minutes Risk,0,1
366,A.Becker,LIV,GKP,38,2.0,90.0,None,Minutes Risk,0,1
367,Mamardashvili,LIV,GKP,38,4.0,237.0,None,Minutes Risk,0,3
368,Pécsi,LIV,GKP,38,0.0,0.0,None,Minutes Risk,0,0
369,Woodman,LIV,GKP,38,6.0,212.0,None,Minutes Risk,0,2
370,Frimpong,LIV,DEF,38,6.0,217.0,None,Minutes Risk,0,2
371,Kerkez,LIV,DEF,38,6.0,225.0,None,Minutes Risk,0,2
372,Robertson,LIV,DEF,38,12.0,311.0,None,Minutes Risk,0,4
373,Virgil,LIV,DEF,38,31.0,540.0,"Scoring Defender, Bonus Magnet, Aerial Threat",Minutes Monster,3,6
374,Konaté,LIV,DEF,38,12.0,520.0,None,Minutes Monster,0,6
375,Bradley,LIV,DEF,38,0.0,0.0,None,Minutes Risk,0,0
376,Gomez,LIV,DEF,38,2.0,82.0,None,Minutes Risk,0,1
377,Tsimikas,LIV,DEF,38,0.0,0.0,None,Minutes Risk,0,0
378,Nallo,LIV,DEF,38,0.0,0.0,None,Minutes Risk,0,0
379,R.Williams,LIV,DEF,38,0.0,0.0,None,Minutes Risk,0,0
380,Ramsay,LIV,DEF,38,0.0,0.0,None,Minutes Risk,0,0
381,M.Salah,LIV,MID,38,18.0,237.0,None,Minutes Risk,0,3
382,Wirtz,LIV,MID,38,14.0,304.0,None,Minutes Risk,0,3
383,Luis Díaz,LIV,MID,38,0.0,0.0,None,Minutes Risk,0,0
384,Gakpo,LIV,MID,38,19.0,502.0,"Goal Machine, Metronome, Aerial Threat",,3,6
385,Chiesa,LIV,MID,38,3.0,40.0,None,Minutes Risk,0,0
386,Mac Allister,LIV,MID,38,22.0,456.0,"Chaos Merchant, Bonus Magnet, Aerial Threat",,3,5
387,Szoboszlai,LIV,MID,38,32.0,540.0,"Creative Wizard, Emerging Contributor, Captaincy King, Chaos Merchant, Bonus Magnet, Set Piece Threat",Minutes Monster,6,6
388,C.Jones,LIV,MID,38,26.0,536.0,"Captaincy King, Differential, Bonus Magnet",Minutes Monster,3,6
389,Elliott,AVL,MID,38,0.0,0.0,None,Minutes Risk,0,0
390,Gravenberch,LIV,MID,38,19.0,428.0,Bonus Magnet,,1,5
391,Gannon-Doak,BOU,MID,38,3.0,49.0,None,Minutes Risk,0,0
392,Endo,LIV,MID,38,0.0,0.0,None,Minutes Risk,0,0
393,Bajcetic,LIV,MID,38,0.0,0.0,None,Minutes Risk,0,0
394,McConnell,LIV,MID,38,0.0,0.0,None,Minutes Risk,0,0
395,Morton,LIV,MID,38,0.0,0.0,None,Minutes Risk,0,0
396,Nyoni,LIV,MID,38,1.0,7.0,None,Minutes Risk,0,0
397,Darwin,LIV,FWD,38,0.0,0.0,None,Minutes Risk,0,0
398,Danns,LIV,FWD,38,0.0,0.0,None,Minutes Risk,0,0
399,Ederson M.,MCI,GKP,38,0.0,0.0,None,Minutes Risk,0,0
400,Ortega Moreno,NFO,GKP,38,0.0,0.0,None,Minutes Risk,0,0
401,Bettinelli,MCI,GKP,38,0.0,0.0,None,Minutes Risk,0,0
402,Aït-Nouri,MCI,DEF,38,15.0,167.0,None,Minutes Risk,0,2
403,Gvardiol,MCI,DEF,38,2.0,69.0,None,Minutes Risk,0,1
404,Akanji,MCI,DEF,38,0.0,0.0,None,Minutes Risk,0,0
405,Aké,MCI,DEF,38,8.0,198.0,None,Minutes Risk,0,2
406,Khusanov,MCI,DEF,38,22.0,360.0,None,Minutes Risk,0,4
407,Matheus N.,MCI,DEF,38,15.0,417.0,"Emerging Contributor, Bonus Magnet, Deep Lying Creator",,3,5
408,Rúben,MCI,DEF,38,1.0,90.0,None,Minutes Risk,0,1
409,Stones,MCI,DEF,38,4.0,85.0,None,Minutes Risk,0,1
410,Lewis,MCI,DEF,38,0.0,90.0,None,Minutes Risk,0,1
411,O'Reilly,MCI,DEF,38,14.0,360.0,None,Minutes Risk,0,4
412,Vitor Reis,MCI,DEF,38,0.0,0.0,None,Minutes Risk,0,0
413,Marmoush,MCI,MID,38,16.0,125.0,None,Minutes Risk,0,1
414,Foden,MCI,MID,38,17.0,251.0,None,Minutes Risk,0,2
415,Savinho,MCI,MID,38,14.0,240.0,None,Minutes Risk,0,2
416,Bernardo,MCI,MID,38,16.0,457.0,"Creative Wizard, Metronome, Differential, Bonus Magnet, Set Piece Threat",,5,6
417,Cherki,MCI,MID,38,15.0,316.0,None,Minutes Risk,0,3
418,Doku,MCI,MID,38,36.0,389.0,None,Minutes Risk,0,4
419,Grealish,EVE,MID,38,0.0,0.0,None,Minutes Risk,0,0
420,Gündoğan,MCI,MID,38,0.0,0.0,None,Minutes Risk,0,0
421,Rodrigo,MCI,MID,38,7.0,90.0,None,Minutes Risk,0,1
422,Kovačić,MCI,MID,38,7.0,112.0,None,Minutes Risk,0,1
423,N.Gonzalez,MCI,MID,38,7.0,189.0,None,Minutes Risk,0,2
424,Bobb,FUL,MID,38,9.0,226.0,None,Minutes Risk,0,2
425,Echeverri,MCI,MID,38,0.0,0.0,None,Minutes Risk,0,0
426,McAtee,NFO,MID,38,8.0,115.0,None,Minutes Risk,0,1
427,Reijnders,MCI,MID,38,6.0,135.0,None,Minutes Risk,0,2
428,Nypan,MCI,MID,38,0.0,0.0,None,Minutes Risk,0,0
429,Phillips,MCI,MID,38,0.0,0.0,None,Minutes Risk,0,0
430,Haaland,MCI,FWD,38,34.0,360.0,None,Minutes Risk,0,4
431,Bayindir,MUN,GKP,38,0.0,0.0,None,Minutes Risk,0,0
432,Onana,MUN,GKP,38,0.0,0.0,None,Minutes Risk,0,0
433,Harrison,MUN,GKP,38,0.0,0.0,None,Minutes Risk,0,0
434,Heaton,MUN,GKP,38,0.0,0.0,None,Minutes Risk,0,0
435,Mee,MUN,GKP,38,0.0,0.0,None,Minutes Risk,0,0
436,De Ligt,MUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
437,Martinez,MUN,DEF,38,15.0,270.0,None,Minutes Risk,0,3
438,Mazraoui,MUN,DEF,38,24.0,298.0,None,Minutes Risk,0,3
439,D.Leon,MUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
440,Dalot,MUN,DEF,38,12.0,360.0,None,Minutes Risk,0,4
441,Dorgu,MUN,DEF,38,21.0,111.0,None,Minutes Risk,0,1
442,Maguire,MUN,DEF,38,27.0,450.0,"Defensive Workhorse, Budget Enabler, Bonus Magnet, Aerial Threat",,4,5
443,Shaw,MUN,DEF,38,36.0,513.0,"Reliable Shieldwall, Budget Enabler, Bonus Magnet",Minutes Monster,3,6
444,Yoro,MUN,DEF,38,3.0,34.0,None,Minutes Risk,0,0
445,Amass,MUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
446,Fredricson,MUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
447,Heaven,MUN,DEF,38,14.0,270.0,None,Minutes Risk,0,3
448,Malacia,MUN,DEF,38,1.0,8.0,None,Minutes Risk,0,0
449,B.Fernandes,MUN,MID,38,42.0,540.0,"Creative Wizard, Emerging Contributor, Captaincy King, Bonus Magnet, Set Piece Threat",Minutes Monster,5,6
450,Cunha,MUN,MID,38,25.0,335.0,None,Minutes Risk,0,4
451,Rashford,MUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
452,Amad,MUN,MID,38,15.0,354.0,None,Minutes Risk,0,4
453,Garnacho,CHE,MID,38,4.0,120.0,None,Minutes Risk,0,0
454,Antony,MUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
455,Mount,MUN,MID,38,11.0,197.0,None,Minutes Risk,0,2
456,Sancho,AVL,MID,38,5.0,111.0,None,Minutes Risk,0,1
457,Casemiro,MUN,MID,38,22.0,350.0,None,Minutes Risk,0,4
458,Mainoo,MUN,MID,38,28.0,540.0,"Defensive Contributor, Captaincy King, Metronome, Bonus Magnet, Deep Lying Creator",Minutes Monster,5,6
459,Ugarte,MUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
460,Collyer,MUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
461,Fitzgerald,MUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
462,J.Fletcher,MUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
463,Kone,MUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
464,Moorhouse,MUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
465,Højlund,MUN,FWD,38,0.0,0.0,None,Minutes Risk,0,0
466,Zirkzee,MUN,FWD,38,5.0,98.0,None,Minutes Risk,0,1
467,Obi,MUN,FWD,38,0.0,0.0,None,Minutes Risk,0,0
468,Wheatley,MUN,FWD,38,0.0,0.0,None,Minutes Risk,0,0
469,Pope,NEW,GKP,38,14.0,450.0,Premium Keeper,,1,5
470,Dúbravka,BUR,GKP,38,6.0,270.0,None,Minutes Risk,0,3
471,Gillespie,NEW,GKP,38,0.0,0.0,None,Minutes Risk,0,0
472,Odysseas,NEW,GKP,38,0.0,0.0,None,Minutes Risk,0,0
473,Hall,NEW,DEF,38,6.0,337.0,None,Minutes Risk,0,4
474,Schär,NEW,DEF,38,0.0,0.0,None,Minutes Risk,0,0
475,Botman,NEW,DEF,38,21.0,540.0,"Defensive Workhorse, Bonus Magnet",Minutes Monster,2,6
476,Burn,NEW,DEF,38,15.0,384.0,None,Minutes Risk,0,4
477,Livramento,NEW,DEF,38,2.0,73.0,None,Minutes Risk,0,1
478,Trippier,NEW,DEF,38,4.0,130.0,None,Minutes Risk,0,1
479,Krafth,NEW,DEF,38,0.0,0.0,None,Minutes Risk,0,0
480,Lascelles,NEW,DEF,38,0.0,0.0,None,Minutes Risk,0,0
481,A.Murphy,NEW,DEF,38,1.0,6.0,None,Minutes Risk,0,0
482,Ashby,NEW,DEF,38,0.0,0.0,None,Minutes Risk,0,0
483,Pivas,NEW,DEF,38,0.0,0.0,None,Minutes Risk,0,0
484,Targett,NEW,DEF,38,0.0,0.0,None,Minutes Risk,0,0
485,Gordon,NEW,MID,38,0.0,0.0,None,Minutes Risk,0,0
486,Elanga,NEW,MID,38,5.0,94.0,None,Minutes Risk,0,1
487,Barnes,NEW,MID,38,22.0,284.0,None,Minutes Risk,0,2
488,Bruno G.,NEW,MID,38,20.0,437.0,"Creative Wizard, Metronome, Bonus Magnet",,3,5
489,J.Murphy,NEW,MID,38,15.0,280.0,None,Minutes Risk,0,4
490,Joelinton,NEW,MID,38,6.0,180.0,None,Minutes Risk,0,2
491,Tonali,NEW,MID,38,8.0,407.0,"Emerging Contributor, Volume Shooter, Deep Lying Creator",,3,5
492,Antoñito C.,NEW,MID,38,0.0,0.0,None,Minutes Risk,0,0
493,Longstaff,LEE,MID,38,11.0,56.0,None,Minutes Risk,0,0
494,Willock,NEW,MID,38,10.0,279.0,None,Minutes Risk,0,3
495,Hayden,NEW,MID,38,0.0,0.0,None,Minutes Risk,0,0
496,Kuol,NEW,MID,38,0.0,0.0,None,Minutes Risk,0,0
497,L.Miley,NEW,MID,38,8.0,270.0,None,Minutes Risk,0,3
498,White,NEW,MID,38,0.0,0.0,None,Minutes Risk,0,0
499,Isak,LIV,FWD,38,11.0,172.0,None,Minutes Risk,0,2
500,Osula,NEW,FWD,38,37.0,441.0,"Goal Machine, Clinical Finisher, Captaincy King, Chaos Merchant, Bonus Magnet",,5,6
501,Neave,NEW,FWD,38,1.0,13.0,None,Minutes Risk,0,0
502,Sels,NFO,GKP,38,25.0,540.0,"Shot Stopper, Overperformer, Bonus Magnet",Minutes Monster,3,6
503,C.Miguel,NFO,GKP,38,0.0,0.0,None,Minutes Risk,0,0
504,Turner,NFO,GKP,38,0.0,0.0,None,Minutes Risk,0,0
505,Milenković,NFO,DEF,38,21.0,495.0,None,,0,5
506,Murillo,NFO,DEF,38,1.0,41.0,None,Minutes Risk,0,1
507,Aina,NFO,DEF,38,11.0,180.0,None,Minutes Risk,0,2
508,N.Williams,NFO,DEF,38,13.0,495.0,"Emerging Contributor, Set Piece Threat",,2,5
509,David Carmo,NFO,DEF,38,0.0,0.0,None,Minutes Risk,0,0
510,Jair Cunha,NFO,DEF,38,8.0,300.0,None,Minutes Risk,0,4
511,Morato,NFO,DEF,38,18.0,402.0,None,Minutes Risk,0,4
512,O.Richards,NFO,DEF,38,0.0,0.0,None,Minutes Risk,0,0
513,Abbott,NFO,DEF,38,1.0,45.0,None,Minutes Risk,0,1
514,Boly,NFO,DEF,38,0.0,0.0,None,Minutes Risk,0,0
515,Gibbs-White,NFO,MID,38,53.0,378.0,None,Minutes Risk,0,4
516,Hudson-Odoi,NFO,MID,38,0.0,0.0,None,Minutes Risk,0,0
517,Anderson,NFO,MID,38,38.0,469.0,"Defensive Contributor, Captaincy King, Chaos Merchant, Bonus Magnet",,4,5
518,Jota,NFO,MID,38,0.0,0.0,None,Minutes Risk,0,0
519,Dominguez,NFO,MID,38,9.0,230.0,None,Minutes Risk,0,3
520,O'Brien,NFO,MID,38,0.0,0.0,None,Minutes Risk,0,0
521,Sangaré,NFO,MID,38,10.0,219.0,None,Minutes Risk,0,3
522,Yates,NFO,MID,38,9.0,197.0,None,Minutes Risk,0,1
523,Da Silva Moreira,NFO,MID,38,0.0,0.0,None,Minutes Risk,0,0
524,Stamenic,NFO,MID,38,0.0,0.0,None,Minutes Risk,0,0
525,Wood,NFO,FWD,38,15.0,333.0,None,Minutes Risk,0,4
526,Igor Jesus,NFO,FWD,38,31.0,411.0,"Goal Machine, Clinical Finisher, Captaincy King, Chaos Merchant, Bonus Magnet",,5,5
527,Awoniyi,NFO,FWD,38,23.0,212.0,None,Minutes Risk,0,2
528,Patterson,SUN,GKP,38,0.0,0.0,None,Minutes Risk,0,0
529,Moore,SUN,GKP,38,0.0,0.0,None,Minutes Risk,0,0
530,Nna Noukeu,SUN,GKP,38,0.0,0.0,None,Minutes Risk,0,0
531,Ballard,SUN,DEF,38,-2.0,140.0,None,Minutes Risk,0,2
532,Hume,SUN,DEF,38,22.0,445.0,"Emerging Contributor, Budget Enabler, Bonus Magnet, Set Piece Threat",,4,5
533,Alese,SUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
534,Anderson,SUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
535,Cirkin,SUN,DEF,38,0.0,18.0,None,Minutes Risk,0,0
536,Hjelde,SUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
537,Huggins,SUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
538,Johnson,SUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
539,O'Nien,SUN,DEF,38,10.0,247.0,None,Minutes Risk,0,2
540,Pembele,SUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
541,Reinildo,SUN,DEF,38,16.0,448.0,"Budget Enabler, Bonus Magnet",,2,5
542,Seelt,SUN,DEF,38,0.0,0.0,None,Minutes Risk,0,0
543,Adingra,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
544,Diarra,SUN,MID,38,8.0,214.0,None,Minutes Risk,0,2
545,Roberts,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
546,Aleksić,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
547,E.Le Fée,SUN,MID,38,36.0,540.0,"Creative Wizard, Captaincy King, Bonus Magnet, Set Piece Threat",Minutes Monster,4,6
548,Mundle,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
549,Neil,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
550,Poveda,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
551,Rigg,SUN,MID,38,13.0,121.0,None,Minutes Risk,0,2
552,Sadiki,SUN,MID,38,16.0,507.0,"Metronome, Differential",,2,6
553,Talbi,SUN,MID,38,7.0,225.0,None,Minutes Risk,0,2
554,Ba,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
555,Browne,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
556,Ekwah,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
557,H.Jones,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
558,Matete,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
559,Triantis,SUN,MID,38,0.0,0.0,None,Minutes Risk,0,0
560,Isidor,SUN,FWD,38,13.0,91.0,None,Minutes Risk,0,0
561,Mayenda,SUN,FWD,38,1.0,1.0,None,Minutes Risk,0,0
562,Abdullahi,SUN,FWD,38,0.0,0.0,None,Minutes Risk,0,0
563,Luís Hemir,SUN,FWD,38,0.0,0.0,None,Minutes Risk,0,0
564,Rusyn,SUN,FWD,38,0.0,0.0,None,Minutes Risk,0,0
565,Vicario,TOT,GKP,38,0.0,0.0,None,Minutes Risk,0,0
566,Austin,TOT,GKP,38,0.0,0.0,None,Minutes Risk,0,0
567,Kinsky,TOT,GKP,38,18.0,540.0,"Sweeper Keeper, Liability",Minutes Monster,2,6
568,Pedro Porro,TOT,DEF,38,33.0,540.0,"Attacking Defender, Defensive Workhorse, Bonus Magnet, Set Piece Threat",Minutes Monster,4,6
569,Romero,TOT,DEF,38,0.0,0.0,None,Minutes Risk,0,0
570,Danso,TOT,DEF,38,24.0,540.0,"Defensive Workhorse, Budget Enabler, Bonus Magnet, Aerial Threat",Minutes Monster,4,6
571,Davies,TOT,DEF,38,0.0,0.0,None,Minutes Risk,0,0
572,Dragusin,TOT,DEF,38,2.0,2.0,None,Minutes Risk,0,0
573,Spence,TOT,DEF,38,18.0,243.0,None,Minutes Risk,0,2
574,Udogie,TOT,DEF,38,13.0,406.0,Budget Enabler,,1,5
575,Van de Ven,TOT,DEF,38,17.0,540.0,"Budget Enabler, Bonus Magnet",Minutes Monster,2,6
576,Phillips,TOT,DEF,38,0.0,0.0,None,Minutes Risk,0,0
577,Takai,TOT,DEF,38,0.0,0.0,None,Minutes Risk,0,0
578,Vuskovic,TOT,DEF,38,0.0,0.0,None,Minutes Risk,0,0
579,Son,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
580,Johnson,CRY,MID,38,8.0,346.0,None,Minutes Risk,0,4
581,Maddison,TOT,MID,38,3.0,34.0,None,Minutes Risk,0,0
582,Kudus,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
583,Kulusevski,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
584,Tel,TOT,MID,38,21.0,414.0,None,Minutes Risk,0,4
585,Bentancur,TOT,MID,38,22.0,473.0,"Defensive Contributor, Metronome, Differential, Bonus Magnet",,4,6
586,Bergvall,TOT,MID,38,7.0,51.0,None,Minutes Risk,0,0
587,Bissouma,TOT,MID,38,4.0,140.0,None,Minutes Risk,0,2
588,Odobert,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
589,Solomon,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
590,Bryan,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
591,Gray,TOT,MID,38,2.0,41.0,None,Minutes Risk,0,0
592,Moore,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
593,P.M.Sarr,TOT,MID,38,5.0,39.0,None,Minutes Risk,0,0
594,Min-hyeok,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
595,Olusesi,TOT,MID,38,0.0,0.0,None,Minutes Risk,0,0
596,Solanke,TOT,FWD,38,3.0,129.0,None,Minutes Risk,0,2
597,Richarlison,TOT,FWD,38,24.0,392.0,None,Minutes Risk,0,4
598,Lankshear,TOT,FWD,38,0.0,0.0,None,Minutes Risk,0,0
599,Scarlett,TOT,FWD,38,0.0,0.0,None,Minutes Risk,0,0
600,Areola,WHU,GKP,38,0.0,0.0,None,Minutes Risk,0,0
601,Foderingham,WHU,GKP,38,0.0,0.0,None,Minutes Risk,0,0
602,Hegyi,WHU,GKP,38,0.0,0.0,None,Minutes Risk,0,0
603,Diouf,WHU,DEF,38,16.0,523.0,"Attacking Defender, Emerging Contributor, Budget Enabler, Bonus Magnet, Set Piece Threat",Minutes Monster,5,6
604,Emerson,WHU,DEF,38,0.0,0.0,None,Minutes Risk,0,0
605,Kilman,WHU,DEF,38,0.0,0.0,None,Minutes Risk,0,0
606,Mavropanos,WHU,DEF,38,24.0,540.0,"Defensive Workhorse, Budget Enabler, Bonus Magnet",Minutes Monster,3,6
607,N.Aguerd,WHU,DEF,38,0.0,0.0,None,Minutes Risk,0,0
608,Scarles,WHU,DEF,38,0.0,2.0,None,Minutes Risk,0,0
609,Todibo,WHU,DEF,38,2.0,116.0,None,Minutes Risk,0,2
610,Wan-Bissaka,WHU,DEF,38,4.0,177.0,None,Minutes Risk,0,2
611,Casey,WHU,DEF,38,0.0,0.0,None,Minutes Risk,0,0
612,L.Paquetá,WHU,MID,38,0.0,0.0,None,Minutes Risk,0,0
613,Souček,WHU,MID,38,21.0,512.0,"Goal Machine, Emerging Contributor, Differential, Bonus Magnet, Aerial Threat",Minutes Monster,5,6
614,Ward-Prowse,BUR,MID,38,11.0,274.0,None,Minutes Risk,0,3
615,Summerville,WHU,MID,38,15.0,537.0,"Creative Wizard, Emerging Contributor, Metronome, Bonus Magnet",Minutes Monster,4,6
616,Álvarez,WHU,MID,38,0.0,0.0,None,Minutes Risk,0,0
617,Cornet,WHU,MID,38,0.0,0.0,None,Minutes Risk,0,0
618,G.Rodriguez,WHU,MID,38,0.0,0.0,None,Minutes Risk,0,0
619,L.Guilherme,WHU,MID,38,0.0,0.0,None,Minutes Risk,0,0
620,Earthy,WHU,MID,38,0.0,0.0,None,Minutes Risk,0,0
621,Irving,WHU,MID,38,0.0,0.0,None,Minutes Risk,0,0
622,Orford,WHU,MID,38,0.0,0.0,None,Minutes Risk,0,0
623,Potts,WHU,MID,38,1.0,11.0,None,Minutes Risk,0,0
624,Bowen,WHU,FWD,38,30.0,537.0,"Captaincy King, Chaos Merchant, Bonus Magnet, Set Piece Threat",Minutes Monster,4,6
625,Füllkrug,WHU,FWD,38,0.0,0.0,None,Minutes Risk,0,0
626,Marshall,WHU,FWD,38,0.0,0.0,None,Minutes Risk,0,0
627,Johnstone,WOL,GKP,38,0.0,0.0,None,Minutes Risk,0,0
628,José Sá,WOL,GKP,38,11.0,270.0,None,Minutes Risk,0,3
629,Bentley,WOL,GKP,38,6.0,270.0,None,Minutes Risk,0,3
630,King,EVE,GKP,38,0.0,0.0,None,Minutes Risk,0,0
631,Agbadou,WOL,DEF,38,0.0,0.0,None,Minutes Risk,0,0
632,Doherty,WOL,DEF,38,2.0,84.0,None,Minutes Risk,0,1
633,H.Bueno,WOL,DEF,38,10.0,323.0,None,Minutes Risk,0,4
634,Mosquera,WOL,DEF,38,10.0,360.0,None,Minutes Risk,0,4
635,R.Gomes,WOL,DEF,38,13.0,326.0,None,Minutes Risk,0,3
636,S.Bueno,WOL,DEF,38,20.0,540.0,Scoring Defender,Minutes Monster,1,6
637,Toti,WOL,DEF,38,13.0,384.0,None,Minutes Risk,0,4
638,Hoever,WOL,DEF,38,0.0,0.0,None,Minutes Risk,0,0
639,Meupiyou,WOL,DEF,38,0.0,0.0,None,Minutes Risk,0,0
640,Pedro Lima,WOL,DEF,38,7.0,254.0,None,Minutes Risk,0,3
641,Pond,WOL,DEF,38,0.0,0.0,None,Minutes Risk,0,0
642,Hee Chan,WOL,MID,38,9.0,276.0,None,Minutes Risk,0,3
643,André,WOL,MID,38,15.0,540.0,"Defensive Contributor, Metronome, Differential, Bonus Magnet",Minutes Monster,4,6
644,Bellegarde,WOL,MID,38,4.0,100.0,None,Minutes Risk,0,1
645,Fer López,WOL,MID,38,0.0,0.0,None,Minutes Risk,0,0
646,J.Gomes,WOL,MID,38,13.0,448.0,None,,0,5
647,Guedes,WOL,MID,38,0.0,0.0,None,Minutes Risk,0,0
648,Munetsi,WOL,MID,38,0.0,0.0,None,Minutes Risk,0,0
649,B.Traore,WOL,MID,38,0.0,0.0,None,Minutes Risk,0,0
650,Chirewa,WOL,MID,38,0.0,0.0,None,Minutes Risk,0,0
651,Edozie,WOL,MID,38,1.0,1.0,None,Minutes Risk,0,0
652,Gonzalez,WOL,MID,38,0.0,0.0,None,Minutes Risk,0,0
653,Hodge,WOL,MID,38,0.0,0.0,None,Minutes Risk,0,0
654,Strand Larsen,CRY,FWD,38,10.0,314.0,None,Minutes Risk,0,4
655,Fábio Silva,WOL,FWD,38,0.0,0.0,None,Minutes Risk,0,0
656,Kalajdžić,WOL,FWD,38,0.0,0.0,None,Minutes Risk,0,0
657,Chiwome,WOL,FWD,38,0.0,0.0,None,Minutes Risk,0,0
658,Fraser,WOL,FWD,38,0.0,0.0,None,Minutes Risk,0,0
659,Walker-Peters,WHU,DEF,38,15.0,334.0,None,Minutes Risk,0,4
660,Stach,LEE,MID,38,15.0,234.0,None,Minutes Risk,0,3
