element,web_name,team,position,gw_from_fixture,total_points_4gw,minutes_4gw,starts_last4,personas,flags,persona_count
334,Harris,FUL,MID,38,0.0,0.0,0,None,Minutes Risk,0
335,King,FUL,MID,38,3.0,81.0,0,None,Minutes Risk,0
336,Reed,FUL,MID,38,2.0,63.0,1,None,Minutes Risk,0
337,Raúl,FUL,FWD,38,4.0,113.0,1,None,Minutes Risk,0
338,Muniz,FUL,FWD,38,6.0,244.0,3,"Goal Machine, Wasteful Striker",,2
339,Meslier,LEE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
340,Cairns,LEE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
341,Darlow,LEE,GKP,38,17.0,360.0,4,"Shot Stopper, Overperformer, Bonus Magnet",Minutes Monster,3
342,Bogle,LEE,DEF,38,7.0,167.0,2,None,Minutes Risk,0
343,Struijk,LEE,DEF,38,3.0,235.0,3,None,,0
344,Bijol,LEE,DEF,38,19.0,339.0,4,"Defensive Workhorse, Budget Enabler, Bonus Magnet",,3
345,Bornauw,LEE,DEF,38,8.0,125.0,1,None,Minutes Risk,0
346,Byram,LEE,DEF,38,1.0,1.0,0,None,Minutes Risk,0
347,Gudmundsson,LEE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
348,Rodon,LEE,DEF,38,9.0,360.0,4,"Emerging Contributor, Budget Enabler",Minutes Monster,2
349,Schmidt,LEE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
350,Aaronson,LEE,MID,38,5.0,229.0,3,None,,0
351,Gnonto,LEE,MID,38,4.0,79.0,0,None,Minutes Risk,0
352,Harrison,LEE,MID,38,0.0,0.0,0,None,Minutes Risk,0
353,James,LEE,MID,38,5.0,142.0,2,None,Minutes Risk,0
354,Ampadu,LEE,MID,38,17.0,360.0,4,"Defensive Contributor, Captaincy King, Bonus Magnet",Minutes Monster,3
355,Greenwood,LEE,MID,38,0.0,0.0,0,None,Minutes Risk,0
356,Gruev,LEE,MID,38,0.0,0.0,0,None,Minutes Risk,0
357,Ramazani,LEE,MID,38,0.0,0.0,0,None,Minutes Risk,0
358,Tanaka,LEE,MID,38,16.0,297.0,4,"Defensive Contributor, Captaincy King, Metronome, Bonus Magnet",,4
359,Crew,LEE,MID,38,0.0,0.0,0,None,Minutes Risk,0
360,Gelhardt,LEE,MID,38,0.0,0.0,0,None,Minutes Risk,0
361,Gyabi,LEE,MID,38,0.0,0.0,0,None,Minutes Risk,0
362,Piroe,LEE,FWD,38,2.0,28.0,0,None,Minutes Risk,0
363,Bamford,LEE,FWD,38,0.0,0.0,0,None,Minutes Risk,0
364,Mateo Joseph,LEE,FWD,38,0.0,0.0,0,None,Minutes Risk,0
365,Nmecha,LEE,FWD,38,5.0,172.0,1,None,Minutes Risk,0
366,A.Becker,LIV,GKP,38,2.0,90.0,1,None,Minutes Risk,0
367,Mamardashvili,LIV,GKP,38,3.0,180.0,2,None,Minutes Risk,0
368,Pécsi,LIV,GKP,38,0.0,0.0,0,None,Minutes Risk,0
369,Woodman,LIV,GKP,38,2.0,90.0,1,None,Minutes Risk,0
370,Frimpong,LIV,DEF,38,4.0,180.0,2,None,Minutes Risk,0
371,Kerkez,LIV,DEF,38,4.0,218.0,2,None,Minutes Risk,0
372,Robertson,LIV,DEF,38,2.0,140.0,2,None,Minutes Risk,0
373,Virgil,LIV,DEF,38,19.0,360.0,4,"Scoring Defender, Bonus Magnet",Minutes Monster,2
374,Konaté,LIV,DEF,38,4.0,340.0,4,None,Minutes Monster,0
375,Bradley,LIV,DEF,38,0.0,0.0,0,None,Minutes Risk,0
376,Gomez,LIV,DEF,38,1.0,79.0,1,None,Minutes Risk,0
377,Tsimikas,LIV,DEF,38,0.0,0.0,0,None,Minutes Risk,0
378,Nallo,LIV,DEF,38,0.0,0.0,0,None,Minutes Risk,0
379,R.Williams,LIV,DEF,38,0.0,0.0,0,None,Minutes Risk,0
380,Ramsay,LIV,DEF,38,0.0,0.0,0,None,Minutes Risk,0
381,M.Salah,LIV,MID,38,7.0,89.0,1,None,Minutes Risk,0
382,Wirtz,LIV,MID,38,4.0,131.0,1,None,Minutes Risk,0
383,Luis Díaz,LIV,MID,38,0.0,0.0,0,None,Minutes Risk,0
384,Gakpo,LIV,MID,38,12.0,329.0,4,"Goal Machine, Metronome",,2
385,Chiesa,LIV,MID,38,3.0,40.0,0,None,Minutes Risk,0
386,Mac Allister,LIV,MID,38,8.0,360.0,4,None,Minutes Monster,0
387,Szoboszlai,LIV,MID,38,26.0,360.0,4,"Creative Wizard, Emerging Contributor, Captaincy King, Chaos Merchant, Bonus Magnet",Minutes Monster,5
388,C.Jones,LIV,MID,38,15.0,360.0,4,"Emerging Contributor, Bonus Magnet",Minutes Monster,2
389,Elliott,AVL,MID,38,0.0,0.0,0,None,Minutes Risk,0
390,Gravenberch,LIV,MID,38,16.0,327.0,4,"Captaincy King, Bonus Magnet",,2
391,Gannon-Doak,BOU,MID,38,2.0,37.0,0,None,Minutes Risk,0
392,Endo,LIV,MID,38,0.0,0.0,0,None,Minutes Risk,0
393,Bajcetic,LIV,MID,38,0.0,0.0,0,None,Minutes Risk,0
394,McConnell,LIV,MID,38,0.0,0.0,0,None,Minutes Risk,0
395,Morton,LIV,MID,38,0.0,0.0,0,None,Minutes Risk,0
396,Nyoni,LIV,MID,38,1.0,7.0,0,None,Minutes Risk,0
397,Darwin,LIV,FWD,38,0.0,0.0,0,None,Minutes Risk,0
398,Danns,LIV,FWD,38,0.0,0.0,0,None,Minutes Risk,0
399,Ederson M.,MCI,GKP,38,0.0,0.0,0,None,Minutes Risk,0
400,Ortega Moreno,NFO,GKP,38,0.0,0.0,0,None,Minutes Risk,0
401,Bettinelli,MCI,GKP,38,0.0,0.0,0,None,Minutes Risk,0
402,Aït-Nouri,MCI,DEF,38,7.0,103.0,1,None,Minutes Risk,0
403,Gvardiol,MCI,DEF,38,2.0,69.0,1,None,Minutes Risk,0
404,Akanji,MCI,DEF,38,0.0,0.0,0,None,Minutes Risk,0
405,Aké,MCI,DEF,38,8.0,198.0,2,None,Minutes Risk,0
406,Khusanov,MCI,DEF,38,8.0,180.0,2,None,Minutes Risk,0
407,Matheus N.,MCI,DEF,38,8.0,237.0,3,None,,0
408,Rúben,MCI,DEF,38,1.0,90.0,1,None,Minutes Risk,0
409,Stones,MCI,DEF,38,4.0,85.0,1,None,Minutes Risk,0
410,Lewis,MCI,DEF,38,0.0,90.0,1,None,Minutes Risk,0
411,O'Reilly,MCI,DEF,38,7.0,180.0,2,None,Minutes Risk,0
412,Vitor Reis,MCI,DEF,38,0.0,0.0,0,None,Minutes Risk,0
413,Marmoush,MCI,MID,38,15.0,122.0,1,None,Minutes Risk,0
414,Foden,MCI,MID,38,16.0,235.0,2,None,Minutes Risk,0
415,Savinho,MCI,MID,38,13.0,215.0,2,None,Minutes Risk,0
416,Bernardo,MCI,MID,38,9.0,281.0,4,Metronome,,1
417,Cherki,MCI,MID,38,7.0,136.0,1,None,Minutes Risk,0
418,Doku,MCI,MID,38,15.0,209.0,2,None,Minutes Risk,0
419,Grealish,EVE,MID,38,0.0,0.0,0,None,Minutes Risk,0
420,Gündoğan,MCI,MID,38,0.0,0.0,0,None,Minutes Risk,0
421,Rodrigo,MCI,MID,38,7.0,90.0,1,None,Minutes Risk,0
422,Kovačić,MCI,MID,38,3.0,97.0,1,None,Minutes Risk,0
423,N.Gonzalez,MCI,MID,38,4.0,90.0,1,None,Minutes Risk,0
424,Bobb,FUL,MID,38,7.0,203.0,2,None,Minutes Risk,0
425,Echeverri,MCI,MID,38,0.0,0.0,0,None,Minutes Risk,0
426,McAtee,NFO,MID,38,8.0,115.0,1,None,Minutes Risk,0
427,Reijnders,MCI,MID,38,6.0,135.0,2,None,Minutes Risk,0
428,Nypan,MCI,MID,38,0.0,0.0,0,None,Minutes Risk,0
429,Phillips,MCI,MID,38,0.0,0.0,0,None,Minutes Risk,0
430,Haaland,MCI,FWD,38,20.0,180.0,2,None,Minutes Risk,0
431,Bayindir,MUN,GKP,38,0.0,0.0,0,None,Minutes Risk,0
432,Onana,MUN,GKP,38,0.0,0.0,0,None,Minutes Risk,0
433,Harrison,MUN,GKP,38,0.0,0.0,0,None,Minutes Risk,0
434,Heaton,MUN,GKP,38,0.0,0.0,0,None,Minutes Risk,0
435,Mee,MUN,GKP,38,0.0,0.0,0,None,Minutes Risk,0
436,De Ligt,MUN,DEF,38,0.0,0.0,0,None,Minutes Risk,0
437,Martinez,MUN,DEF,38,15.0,270.0,3,"Reliable Shieldwall, Bonus Magnet",,2
438,Mazraoui,MUN,DEF,38,17.0,163.0,2,None,Minutes Risk,0
439,D.Leon,MUN,DEF,38,0.0,0.0,0,None,Minutes Risk,0
440,Dalot,MUN,DEF,38,2.0,180.0,2,None,Minutes Risk,0
441,Dorgu,MUN,DEF,38,21.0,111.0,1,None,Minutes Risk,0
442,Maguire,MUN,DEF,38,20.0,360.0,4,"Reliable Shieldwall, Defensive Workhorse, Budget Enabler, Bonus Magnet",Minutes Monster,4
443,Shaw,MUN,DEF,38,20.0,351.0,4,"Reliable Shieldwall, Attacking Defender, Budget Enabler, Bonus Magnet",Minutes Monster,4
444,Yoro,MUN,DEF,38,2.0,17.0,0,None,Minutes Risk,0
445,Amass,MUN,DEF,38,0.0,0.0,0,None,Minutes Risk,0
446,Fredricson,MUN,DEF,38,0.0,0.0,0,None,Minutes Risk,0
447,Heaven,MUN,DEF,38,1.0,90.0,1,None,Minutes Risk,0
448,Malacia,MUN,DEF,38,1.0,8.0,0,None,Minutes Risk,0
449,B.Fernandes,MUN,MID,38,31.0,360.0,4,"Creative Wizard, Captaincy King, Chaos Merchant, Bonus Magnet",Minutes Monster,4
450,Cunha,MUN,MID,38,18.0,255.0,3,"Clinical Finisher, Captaincy King, Bonus Magnet",,3
451,Rashford,MUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
452,Amad,MUN,MID,38,13.0,299.0,3,"Creative Wizard, xGI Beast",,2
453,Garnacho,CHE,MID,38,1.0,1.0,0,None,Minutes Risk,0
454,Antony,MUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
455,Mount,MUN,MID,38,10.0,172.0,2,None,Minutes Risk,0
456,Sancho,AVL,MID,38,3.0,85.0,1,None,Minutes Risk,0
457,Casemiro,MUN,MID,38,5.0,170.0,2,None,Minutes Risk,0
458,Mainoo,MUN,MID,38,20.0,360.0,4,"Defensive Contributor, Captaincy King, Bonus Magnet",Minutes Monster,3
459,Ugarte,MUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
460,Collyer,MUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
461,Fitzgerald,MUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
462,J.Fletcher,MUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
463,Kone,MUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
464,Moorhouse,MUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
465,Højlund,MUN,FWD,38,0.0,0.0,0,None,Minutes Risk,0
466,Zirkzee,MUN,FWD,38,4.0,93.0,1,None,Minutes Risk,0
467,Obi,MUN,FWD,38,0.0,0.0,0,None,Minutes Risk,0
468,Wheatley,MUN,FWD,38,0.0,0.0,0,None,Minutes Risk,0
469,Pope,NEW,GKP,38,12.0,360.0,4,"Shot Stopper, Bonus Magnet",Minutes Monster,2
470,Dúbravka,BUR,GKP,38,2.0,90.0,1,None,Minutes Risk,0
471,Gillespie,NEW,GKP,38,0.0,0.0,0,None,Minutes Risk,0
472,Odysseas,NEW,GKP,38,0.0,0.0,0,None,Minutes Risk,0
473,Hall,NEW,DEF,38,5.0,292.0,3,Emerging Contributor,,1
474,Schär,NEW,DEF,38,0.0,0.0,0,None,Minutes Risk,0
475,Botman,NEW,DEF,38,15.0,360.0,4,"Defensive Workhorse, Bonus Magnet",Minutes Monster,2
476,Burn,NEW,DEF,38,11.0,278.0,3,None,,0
477,Livramento,NEW,DEF,38,0.0,0.0,0,None,Minutes Risk,0
478,Trippier,NEW,DEF,38,3.0,85.0,1,None,Minutes Risk,0
479,Krafth,NEW,DEF,38,0.0,0.0,0,None,Minutes Risk,0
480,Lascelles,NEW,DEF,38,0.0,0.0,0,None,Minutes Risk,0
481,A.Murphy,NEW,DEF,38,1.0,6.0,0,None,Minutes Risk,0
482,Ashby,NEW,DEF,38,0.0,0.0,0,None,Minutes Risk,0
483,Pivas,NEW,DEF,38,0.0,0.0,0,None,Minutes Risk,0
484,Targett,NEW,DEF,38,0.0,0.0,0,None,Minutes Risk,0
485,Gordon,NEW,MID,38,0.0,0.0,0,None,Minutes Risk,0
486,Elanga,NEW,MID,38,2.0,29.0,0,None,Minutes Risk,0
487,Barnes,NEW,MID,38,19.0,170.0,1,None,Minutes Risk,0
488,Bruno G.,NEW,MID,38,17.0,335.0,4,"Creative Wizard, xGI Beast, Defensive Contributor, Captaincy King, Metronome, Bonus Magnet",,6
489,J.Murphy,NEW,MID,38,13.0,187.0,3,None,,0
490,Joelinton,NEW,MID,38,6.0,180.0,2,None,Minutes Risk,0
491,Tonali,NEW,MID,38,4.0,232.0,3,Emerging Contributor,,1
492,Antoñito C.,NEW,MID,38,0.0,0.0,0,None,Minutes Risk,0
493,Longstaff,LEE,MID,38,3.0,49.0,0,None,Minutes Risk,0
494,Willock,NEW,MID,38,8.0,194.0,2,None,Minutes Risk,0
495,Hayden,NEW,MID,38,0.0,0.0,0,None,Minutes Risk,0
496,Kuol,NEW,MID,38,0.0,0.0,0,None,Minutes Risk,0
497,L.Miley,NEW,MID,38,2.0,90.0,1,None,Minutes Risk,0
498,White,NEW,MID,38,0.0,0.0,0,None,Minutes Risk,0
499,Isak,LIV,FWD,38,1.0,23.0,0,None,Minutes Risk,0
500,Osula,NEW,FWD,38,26.0,286.0,4,"Goal Machine, Captaincy King, Chaos Merchant, Bonus Magnet",,4
501,Neave,NEW,FWD,38,1.0,13.0,0,None,Minutes Risk,0
502,Sels,NFO,GKP,38,16.0,360.0,4,"Shot Stopper, Overperformer, Bonus Magnet",Minutes Monster,3
503,C.Miguel,NFO,GKP,38,0.0,0.0,0,None,Minutes Risk,0
504,Turner,NFO,GKP,38,0.0,0.0,0,None,Minutes Risk,0
505,Milenković,NFO,DEF,38,8.0,315.0,3,None,,0
506,Murillo,NFO,DEF,38,0.0,0.0,0,None,Minutes Risk,0
507,Aina,NFO,DEF,38,0.0,0.0,0,None,Minutes Risk,0
508,N.Williams,NFO,DEF,38,6.0,315.0,3,Emerging Contributor,,1
509,David Carmo,NFO,DEF,38,0.0,0.0,0,None,Minutes Risk,0
510,Jair Cunha,NFO,DEF,38,6.0,203.0,3,None,,0
511,Morato,NFO,DEF,38,16.0,360.0,4,"Scoring Defender, Defensive Workhorse",Minutes Monster,2
512,O.Richards,NFO,DEF,38,0.0,0.0,0,None,Minutes Risk,0
513,Abbott,NFO,DEF,38,1.0,45.0,1,None,Minutes Risk,0
514,Boly,NFO,DEF,38,0.0,0.0,0,None,Minutes Risk,0
515,Gibbs-White,NFO,MID,38,20.0,200.0,2,None,Minutes Risk,0
516,Hudson-Odoi,NFO,MID,38,0.0,0.0,0,None,Minutes Risk,0
517,Anderson,NFO,MID,38,27.0,289.0,3,"Creative Wizard, Defensive Contributor, Captaincy King, Chaos Merchant, Bonus Magnet",,5
518,Jota,NFO,MID,38,0.0,0.0,0,None,Minutes Risk,0
519,Dominguez,NFO,MID,38,5.0,184.0,3,Emerging Contributor,,1
520,O'Brien,NFO,MID,38,0.0,0.0,0,None,Minutes Risk,0
521,Sangaré,NFO,MID,38,5.0,84.0,1,None,Minutes Risk,0
522,Yates,NFO,MID,38,5.0,160.0,1,None,Minutes Risk,0
523,Da Silva Moreira,NFO,MID,38,0.0,0.0,0,None,Minutes Risk,0
524,Stamenic,NFO,MID,38,0.0,0.0,0,None,Minutes Risk,0
525,Wood,NFO,FWD,38,6.0,171.0,2,None,Minutes Risk,0
526,Igor Jesus,NFO,FWD,38,10.0,300.0,4,"Goal Machine, Metronome",,2
527,Awoniyi,NFO,FWD,38,19.0,210.0,2,None,Minutes Risk,0
528,Patterson,SUN,GKP,38,0.0,0.0,0,None,Minutes Risk,0
529,Moore,SUN,GKP,38,0.0,0.0,0,None,Minutes Risk,0
530,Nna Noukeu,SUN,GKP,38,0.0,0.0,0,None,Minutes Risk,0
531,Ballard,SUN,DEF,38,-2.0,23.0,1,None,Minutes Risk,0
532,Hume,SUN,DEF,38,17.0,328.0,4,"Budget Enabler, Bonus Magnet",,2
533,Alese,SUN,DEF,38,0.0,0.0,0,None,Minutes Risk,0
534,Anderson,SUN,DEF,38,0.0,0.0,0,None,Minutes Risk,0
535,Cirkin,SUN,DEF,38,0.0,18.0,0,None,Minutes Risk,0
536,Hjelde,SUN,DEF,38,0.0,0.0,0,None,Minutes Risk,0
537,Huggins,SUN,DEF,38,0.0,0.0,0,None,Minutes Risk,0
538,Johnson,SUN,DEF,38,0.0,0.0,0,None,Minutes Risk,0
539,O'Nien,SUN,DEF,38,10.0,157.0,1,None,Minutes Risk,0
540,Pembele,SUN,DEF,38,0.0,0.0,0,None,Minutes Risk,0
541,Reinildo,SUN,DEF,38,14.0,341.0,4,"Budget Enabler, Bonus Magnet",Minutes Monster,2
542,Seelt,SUN,DEF,38,0.0,0.0,0,None,Minutes Risk,0
543,Adingra,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
544,Diarra,SUN,MID,38,5.0,60.0,0,None,Minutes Risk,0
545,Roberts,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
546,Aleksić,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
547,E.Le Fée,SUN,MID,38,25.0,360.0,4,"Creative Wizard, Captaincy King, Chaos Merchant, Bonus Magnet",Minutes Monster,4
548,Mundle,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
549,Neil,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
550,Poveda,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
551,Rigg,SUN,MID,38,5.0,14.0,0,None,Minutes Risk,0
552,Sadiki,SUN,MID,38,10.0,327.0,4,Metronome,,1
553,Talbi,SUN,MID,38,6.0,198.0,2,None,Minutes Risk,0
554,Ba,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
555,Browne,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
556,Ekwah,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
557,H.Jones,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
558,Matete,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
559,Triantis,SUN,MID,38,0.0,0.0,0,None,Minutes Risk,0
560,Isidor,SUN,FWD,38,7.0,60.0,0,None,Minutes Risk,0
561,Mayenda,SUN,FWD,38,1.0,1.0,0,None,Minutes Risk,0
562,Abdullahi,SUN,FWD,38,0.0,0.0,0,None,Minutes Risk,0
563,Luís Hemir,SUN,FWD,38,0.0,0.0,0,None,Minutes Risk,0
564,Rusyn,SUN,FWD,38,0.0,0.0,0,None,Minutes Risk,0
565,Vicario,TOT,GKP,38,0.0,0.0,0,None,Minutes Risk,0
566,Austin,TOT,GKP,38,0.0,0.0,0,None,Minutes Risk,0
567,Kinsky,TOT,GKP,38,11.0,360.0,4,"Sweeper Keeper, Liability",Minutes Monster,2
568,Pedro Porro,TOT,DEF,38,15.0,360.0,4,"Attacking Defender, Defensive Workhorse, Bonus Magnet",Minutes Monster,3
569,Romero,TOT,DEF,38,0.0,0.0,0,None,Minutes Risk,0
570,Danso,TOT,DEF,38,17.0,360.0,4,"Defensive Workhorse, Budget Enabler, Bonus Magnet",Minutes Monster,3
571,Davies,TOT,DEF,38,0.0,0.0,0,None,Minutes Risk,0
572,Dragusin,TOT,DEF,38,1.0,1.0,0,None,Minutes Risk,0
573,Spence,TOT,DEF,38,9.0,139.0,1,None,Minutes Risk,0
574,Udogie,TOT,DEF,38,11.0,331.0,4,Budget Enabler,,1
575,Van de Ven,TOT,DEF,38,10.0,360.0,4,"Budget Enabler, Bonus Magnet",Minutes Monster,2
576,Phillips,TOT,DEF,38,0.0,0.0,0,None,Minutes Risk,0
577,Takai,TOT,DEF,38,0.0,0.0,0,None,Minutes Risk,0
578,Vuskovic,TOT,DEF,38,0.0,0.0,0,None,Minutes Risk,0
579,Son,TOT,MID,38,0.0,0.0,0,None,Minutes Risk,0
580,Johnson,CRY,MID,38,5.0,198.0,2,None,Minutes Risk,0
581,Maddison,TOT,MID,38,3.0,34.0,0,None,Minutes Risk,0
582,Kudus,TOT,MID,38,0.0,0.0,0,None,Minutes Risk,0
583,Kulusevski,TOT,MID,38,0.0,0.0,0,None,Minutes Risk,0
584,Tel,TOT,MID,38,19.0,336.0,4,"Creative Wizard, Captaincy King, Bonus Magnet",,3
585,Bentancur,TOT,MID,38,14.0,317.0,4,"Defensive Contributor, Metronome, Bonus Magnet",,3
586,Bergvall,TOT,MID,38,2.0,10.0,0,None,Minutes Risk,0
587,Bissouma,TOT,MID,38,1.0,23.0,0,None,Minutes Risk,0
588,Odobert,TOT,MID,38,0.0,0.0,0,None,Minutes Risk,0
589,Solomon,TOT,MID,38,0.0,0.0,0,None,Minutes Risk,0
590,Bryan,TOT,MID,38,0.0,0.0,0,None,Minutes Risk,0
591,Gray,TOT,MID,38,1.0,8.0,0,None,Minutes Risk,0
592,Moore,TOT,MID,38,0.0,0.0,0,None,Minutes Risk,0
593,P.M.Sarr,TOT,MID,38,5.0,39.0,0,None,Minutes Risk,0
594,Min-hyeok,TOT,MID,38,0.0,0.0,0,None,Minutes Risk,0
595,Olusesi,TOT,MID,38,0.0,0.0,0,None,Minutes Risk,0
596,Solanke,TOT,FWD,38,0.0,0.0,0,None,Minutes Risk,0
597,Richarlison,TOT,FWD,38,20.0,342.0,4,"Goal Machine, xGI Beast, Captaincy King, Bonus Magnet",Minutes Monster,4
598,Lankshear,TOT,FWD,38,0.0,0.0,0,None,Minutes Risk,0
599,Scarlett,TOT,FWD,38,0.0,0.0,0,None,Minutes Risk,0
600,Areola,WHU,GKP,38,0.0,0.0,0,None,Minutes Risk,0
601,Foderingham,WHU,GKP,38,0.0,0.0,0,None,Minutes Risk,0
602,Hegyi,WHU,GKP,38,0.0,0.0,0,None,Minutes Risk,0
603,Diouf,WHU,DEF,38,9.0,343.0,4,"Budget Enabler, Bonus Magnet",Minutes Monster,2
604,Emerson,WHU,DEF,38,0.0,0.0,0,None,Minutes Risk,0
605,Kilman,WHU,DEF,38,0.0,0.0,0,None,Minutes Risk,0
606,Mavropanos,WHU,DEF,38,14.0,360.0,4,"Defensive Workhorse, Budget Enabler, Bonus Magnet",Minutes Monster,3
607,N.Aguerd,WHU,DEF,38,0.0,0.0,0,None,Minutes Risk,0
608,Scarles,WHU,DEF,38,0.0,2.0,0,None,Minutes Risk,0
609,Todibo,WHU,DEF,38,1.0,115.0,2,None,Minutes Risk,0
610,Wan-Bissaka,WHU,DEF,38,4.0,177.0,2,None,Minutes Risk,0
611,Casey,WHU,DEF,38,0.0,0.0,0,None,Minutes Risk,0
612,L.Paquetá,WHU,MID,38,0.0,0.0,0,None,Minutes Risk,0
613,Souček,WHU,MID,38,8.0,332.0,4,Goal Machine,,1
614,Ward-Prowse,BUR,MID,38,5.0,94.0,1,None,Minutes Risk,0
615,Summerville,WHU,MID,38,10.0,357.0,4,"Metronome, Bonus Magnet",Minutes Monster,2
616,Álvarez,WHU,MID,38,0.0,0.0,0,None,Minutes Risk,0
617,Cornet,WHU,MID,38,0.0,0.0,0,None,Minutes Risk,0
618,G.Rodriguez,WHU,MID,38,0.0,0.0,0,None,Minutes Risk,0
619,L.Guilherme,WHU,MID,38,0.0,0.0,0,None,Minutes Risk,0
620,Earthy,WHU,MID,38,0.0,0.0,0,None,Minutes Risk,0
621,Irving,WHU,MID,38,0.0,0.0,0,None,Minutes Risk,0
622,Orford,WHU,MID,38,0.0,0.0,0,None,Minutes Risk,0
623,Potts,WHU,MID,38,0.0,0.0,0,None,Minutes Risk,0
624,Bowen,WHU,FWD,38,18.0,357.0,4,"Captaincy King, Chaos Merchant, Bonus Magnet",Minutes Monster,3
625,Füllkrug,WHU,FWD,38,0.0,0.0,0,None,Minutes Risk,0
626,Marshall,WHU,FWD,38,0.0,0.0,0,None,Minutes Risk,0
627,Johnstone,WOL,GKP,38,0.0,0.0,0,None,Minutes Risk,0
628,José Sá,WOL,GKP,38,9.0,180.0,2,None,Minutes Risk,0
629,Bentley,WOL,GKP,38,4.0,180.0,2,None,Minutes Risk,0
630,King,EVE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
631,Agbadou,WOL,DEF,38,0.0,0.0,0,None,Minutes Risk,0
632,Doherty,WOL,DEF,38,0.0,0.0,0,None,Minutes Risk,0
633,H.Bueno,WOL,DEF,38,7.0,143.0,2,None,Minutes Risk,0
634,Mosquera,WOL,DEF,38,10.0,360.0,4,"Scoring Defender, Defensive Workhorse",Minutes Monster,2
635,R.Gomes,WOL,DEF,38,6.0,233.0,2,None,Minutes Risk,0
636,S.Bueno,WOL,DEF,38,15.0,360.0,4,"Scoring Defender, Emerging Contributor",Minutes Monster,2
637,Toti,WOL,DEF,38,8.0,204.0,2,None,Minutes Risk,0
638,Hoever,WOL,DEF,38,0.0,0.0,0,None,Minutes Risk,0
639,Meupiyou,WOL,DEF,38,0.0,0.0,0,None,Minutes Risk,0
640,Pedro Lima,WOL,DEF,38,4.0,124.0,2,None,Minutes Risk,0
641,Pond,WOL,DEF,38,0.0,0.0,0,None,Minutes Risk,0
642,Hee Chan,WOL,MID,38,7.0,256.0,3,Emerging Contributor,,1
643,André,WOL,MID,38,10.0,360.0,4,"Defensive Contributor, Metronome",Minutes Monster,2
644,Bellegarde,WOL,MID,38,2.0,34.0,0,None,Minutes Risk,0
645,Fer López,WOL,MID,38,0.0,0.0,0,None,Minutes Risk,0
646,J.Gomes,WOL,MID,38,8.0,268.0,3,None,,0
647,Guedes,WOL,MID,38,0.0,0.0,0,None,Minutes Risk,0
648,Munetsi,WOL,MID,38,0.0,0.0,0,None,Minutes Risk,0
649,B.Traore,WOL,MID,38,0.0,0.0,0,None,Minutes Risk,0
650,Chirewa,WOL,MID,38,0.0,0.0,0,None,Minutes Risk,0
651,Edozie,WOL,MID,38,1.0,1.0,0,None,Minutes Risk,0
652,Gonzalez,WOL,MID,38,0.0,0.0,0,None,Minutes Risk,0
653,Hodge,WOL,MID,38,0.0,0.0,0,None,Minutes Risk,0
654,Strand Larsen,CRY,FWD,38,7.0,230.0,3,None,,0
655,Fábio Silva,WOL,FWD,38,0.0,0.0,0,None,Minutes Risk,0
656,Kalajdžić,WOL,FWD,38,0.0,0.0,0,None,Minutes Risk,0
657,Chiwome,WOL,FWD,38,0.0,0.0,0,None,Minutes Risk,0
658,Fraser,WOL,FWD,38,0.0,0.0,0,None,Minutes Risk,0
659,Walker-Peters,WHU,DEF,38,7.0,154.0,2,None,Minutes Risk,0
660,Stach,LEE,MID,38,15.0,234.0,3,Bonus Magnet,,1
661,Ekitiké,LIV,FWD,38,0.0,0.0,0,None,Minutes Risk,0
662,Mosquera,ARS,DEF,38,11.0,232.0,2,None,Minutes Risk,0
663,J.Arias,WOL,MID,38,0.0,0.0,0,None,Minutes Risk,0
664,Lecomte,FUL,GKP,38,0.0,0.0,0,None,Minutes Risk,0
665,Perri,LEE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
666,Gyökeres,ARS,FWD,38,20.0,177.0,2,None,Minutes Risk,0
667,Aznou,EVE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
668,Xhaka,SUN,MID,38,17.0,360.0,4,"Creative Wizard, Defensive Contributor, Captaincy King, Bonus Magnet",Minutes Monster,4
